UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,value,value of metadata entry,Value,Value,Property,C25712,A numerical quantity measured or assigned or computed.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,value,value of metadata entry,Data_Value,Value,Property,C49100,"The information contained in a data field; may represent a numeric quantity, a textual characterization, a date or time measurement, or some other state depending on the nature of the attribute.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,"describes 1 bundle of data, which may include tar, zip, etc, which contains multiple data items",Data,Data,ObjectClass,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,bundleItemCount,the number of data items in the  bundle,Count,Count,Property,C25463,To determine the number or amount of something; the result of this activity.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,bundleMechanismType,mechanism used to bundle the data items together into a package,Type,Type,Property,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,bundleMechanismType,mechanism used to bundle the data items together into a package,Mechanism,Mechanism,Property,C25343,The means by which an effect is obtained.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,targetBundleSize,the target bundle size (in bytes or number of files),Size,Size,Property,C25681,The physical magnitude of something.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.BundledDataItem,targetBundleSize,the target bundle size (in bytes or number of files),Target,Target,Property,C25702,An object fixed as a goal or point of examination; something to point at; a destination.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataItem,descripts 1 data item to be send across the network,Data,Data,ObjectClass,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataItem,identifier,string to identify the data item,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Data Model.Logical Model.gov.java.lang.String,Logical View.Data Model.Logical Model.gov.java.lang.String,,String_Value,String,ObjectClass,C45253,An expression consisting of a linear sequence of symbols (characters or words or phrases).,NCI,,0
Logical View.Data Model.Logical Model.gov.java.lang.Boolean,Logical View.Data Model.Logical Model.gov.java.lang.Boolean,,Boolean_Value,Boolean,ObjectClass,C45254,"The type of an expression with two possible values, ""true"" and ""false"". Also, a variable of Boolean type or a function with Boolean arguments or result. The most common Boolean functions are AND, OR and NOT.",NCI,,0
Logical View.Data Model.Logical Model.gov.java.lang.Float,Logical View.Data Model.Logical Model.gov.java.lang.Float,,Float_Value,Float,ObjectClass,C48150,A number that can have its decimal point in any position.,NCI,,0
Logical View.Data Model.Logical Model.gov.java.lang.Integer,Logical View.Data Model.Logical Model.gov.java.lang.Integer,,Integer,Integer,ObjectClass,C45255,"A number with no fractional part, including the negative and positive numbers as well as zero.",NCI,,0
Logical View.Data Model.Logical Model.gov.java.lang.Long,Logical View.Data Model.Logical Model.gov.java.lang.Long,,Long,Long,ObjectClass,C25248,Of relatively great or greater than average spatial extension or temporal duration.,NCI,,0
Logical View.Data Model.Logical Model.gov.java.lang.util.Date,Logical View.Data Model.Logical Model.gov.java.lang.util.Date,,Date,Date,ObjectClass,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,0
